                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.37052,                0.21141,                0.83396,                0.99227,                0.98715,                0.99479,                0.97137,                0.26955,                 0.1433,                0.81249,              0.0051985,              0.0051985,              0.0051985
                     99,                0.36456,                0.20994,                0.82872,                0.99244,                0.98706,                0.99479,                0.97134,                  0.269,                0.14298,                0.81239,               0.005149,               0.005149,               0.005149
                    100,                0.36709,                0.21057,                0.82928,                0.99243,                0.98666,                 0.9948,                0.97149,                0.26831,                0.14291,                0.81248,              0.0050995,              0.0050995,              0.0050995
                    101,                0.36688,                 0.2103,                0.83232,                0.99254,                0.98711,                 0.9948,                0.97142,                 0.2682,                0.14237,                0.81263,                0.00505,                0.00505,                0.00505
                    102,                0.36541,                0.21078,                0.83173,                0.99265,                0.98736,                0.99481,                0.97164,                0.26808,                0.14195,                0.81259,              0.0050005,              0.0050005,              0.0050005
                    103,                0.36425,                0.21023,                0.83125,                0.98868,                0.99154,                0.99479,                0.97168,                0.26776,                0.14152,                 0.8126,               0.004951,               0.004951,               0.004951
                    104,                0.36203,                0.20899,                  0.829,                0.98936,                 0.9909,                0.99481,                0.97178,                  0.267,                0.14134,                0.81249,              0.0049015,              0.0049015,              0.0049015
                    105,                0.36125,                0.20887,                0.83078,                0.99338,                0.98687,                0.99481,                0.97163,                 0.2666,                0.14102,                0.81242,               0.004852,               0.004852,               0.004852
                    106,                0.35654,                 0.2067,                0.82964,                0.98977,                0.99055,                0.99481,                0.97184,                0.26587,                0.14069,                0.81224,              0.0048025,              0.0048025,              0.0048025
                    107,                0.35432,                0.20531,                0.82807,                0.99317,                0.98652,                 0.9948,                0.97187,                0.26521,                0.14038,                0.81215,               0.004753,               0.004753,               0.004753
                    108,                 0.3506,                0.20246,                0.82713,                0.99331,                0.98684,                 0.9948,                0.97201,                0.26469,                0.14002,                0.81202,              0.0047035,              0.0047035,              0.0047035
                    109,                0.34965,                0.20389,                0.82846,                0.98956,                0.99053,                 0.9948,                 0.9724,                0.26401,                0.13954,                0.81188,               0.004654,               0.004654,               0.004654
                    110,                0.35475,                0.20544,                0.82899,                0.99306,                0.98718,                 0.9948,                0.97251,                0.26331,                0.13978,                0.81186,              0.0046045,              0.0046045,              0.0046045
                    111,                0.34929,                0.20305,                0.82762,                0.98962,                0.99102,                 0.9948,                 0.9724,                0.26242,                0.13944,                 0.8117,               0.004555,               0.004555,               0.004555
                    112,                0.34934,                0.20221,                0.82712,                0.98978,                0.99096,                 0.9948,                0.97256,                0.26195,                0.13897,                0.81162,              0.0045055,              0.0045055,              0.0045055
                    113,                0.35025,                0.20361,                0.82585,                0.98967,                0.99123,                 0.9948,                0.97265,                0.26136,                0.13842,                0.81169,               0.004456,               0.004456,               0.004456
                    114,                0.34883,                0.20132,                0.82703,                0.98944,                0.99112,                 0.9948,                0.97274,                0.26086,                0.13809,                0.81166,              0.0044065,              0.0044065,              0.0044065
                    115,                0.34189,                0.19875,                0.82387,                0.98959,                0.99112,                 0.9948,                0.97292,                0.26038,                0.13806,                0.81166,               0.004357,               0.004357,               0.004357
                    116,                0.34063,                0.19892,                0.82314,                0.98895,                0.99124,                 0.9948,                0.97299,                0.25958,                0.13792,                0.81145,              0.0043075,              0.0043075,              0.0043075
                    117,                0.34002,                0.19798,                0.82527,                0.98936,                0.99113,                0.99479,                0.97311,                0.25901,                0.13773,                0.81133,               0.004258,               0.004258,               0.004258
                    118,                 0.3461,                0.19983,                0.82493,                0.98896,                0.99123,                0.99479,                0.97337,                0.25839,                0.13767,                0.81113,              0.0042085,              0.0042085,              0.0042085
                    119,                0.33707,                0.19687,                0.82286,                0.98919,                0.99143,                 0.9948,                0.97327,                0.25804,                0.13736,                0.81093,               0.004159,               0.004159,               0.004159
                    120,                 0.3364,                0.19662,                0.82453,                0.98899,                0.99185,                0.99478,                 0.9733,                0.25752,                0.13673,                0.81089,              0.0041095,              0.0041095,              0.0041095
                    121,                0.33724,                0.19665,                 0.8259,                0.98904,                0.99164,                0.99479,                0.97326,                0.25696,                0.13643,                0.81078,                0.00406,                0.00406,                0.00406
                    122,                0.33334,                0.19583,                 0.8227,                0.98885,                0.99154,                0.99479,                0.97328,                0.25637,                0.13642,                0.81062,              0.0040105,              0.0040105,              0.0040105
                    123,                0.33279,                0.19569,                0.82328,                0.98916,                0.99177,                0.99479,                0.97348,                0.25581,                0.13616,                0.81042,               0.003961,               0.003961,               0.003961
                    124,                0.32949,                0.19339,                0.82187,                0.98944,                0.99175,                0.99479,                0.97343,                0.25527,                0.13589,                0.81017,              0.0039115,              0.0039115,              0.0039115
                    125,                0.33149,                 0.1956,                0.82071,                0.98933,                0.99175,                0.99479,                0.97362,                0.25471,                0.13525,                0.81013,               0.003862,               0.003862,               0.003862
                    126,                0.33202,                 0.1943,                 0.8218,                0.98934,                0.99185,                0.99479,                0.97377,                0.25446,                0.13542,                0.81007,              0.0038125,              0.0038125,              0.0038125
                    127,                0.32784,                0.19249,                0.82015,                0.98943,                0.99164,                0.99479,                0.97386,                 0.2541,                0.13539,                0.80999,               0.003763,               0.003763,               0.003763
                    128,                0.32373,                0.19167,                0.82095,                0.98967,                0.99112,                0.99478,                0.97374,                0.25371,                 0.1356,                 0.8099,              0.0037135,              0.0037135,              0.0037135
                    129,                 0.3257,                0.19076,                0.82053,                0.98892,                0.99143,                0.99478,                0.97391,                0.25328,                0.13517,                0.80984,               0.003664,               0.003664,               0.003664
                    130,                0.32406,                0.19128,                0.82179,                0.98905,                0.99091,                0.99478,                0.97393,                0.25302,                  0.135,                0.80978,              0.0036145,              0.0036145,              0.0036145
                    131,                0.32499,                 0.1913,                0.82235,                0.98895,                0.99115,                0.99478,                0.97398,                0.25262,                0.13503,                0.80973,               0.003565,               0.003565,               0.003565
                    132,                0.32222,                0.18965,                0.81897,                0.98953,                0.99102,                0.99479,                0.97382,                 0.2524,                 0.1349,                0.80963,              0.0035155,              0.0035155,              0.0035155
                    133,                0.30269,                0.17922,                0.81657,                0.98929,                0.99081,                0.99478,                0.97385,                0.25215,                 0.1348,                0.80964,               0.003466,               0.003466,               0.003466
                    134,                0.31028,                0.18295,                 0.8195,                0.98937,                0.99127,                0.99478,                0.97389,                0.25181,                0.13446,                0.80963,              0.0034165,              0.0034165,              0.0034165
                    135,                0.31631,                 0.1856,                0.81964,                0.98926,                0.99133,                0.99479,                0.97406,                0.25157,                0.13448,                0.80959,               0.003367,               0.003367,               0.003367
                    136,                0.31744,                0.18713,                0.82056,                0.98957,                0.99124,                0.99479,                0.97398,                0.25131,                0.13441,                0.80955,              0.0033175,              0.0033175,              0.0033175
                    137,                0.31714,                0.18639,                0.81986,                0.98974,                0.99154,                0.99479,                0.97388,                0.25088,                0.13398,                0.80943,               0.003268,               0.003268,               0.003268
                    138,                0.31583,                0.18598,                0.81701,                 0.9901,                0.99091,                0.99479,                0.97388,                0.25056,                0.13362,                0.80937,              0.0032185,              0.0032185,              0.0032185
                    139,                0.31372,                0.18477,                0.81784,                0.99019,                0.99094,                0.99479,                0.97403,                0.25018,                0.13368,                0.80929,               0.003169,               0.003169,               0.003169
                    140,                0.31557,                0.18625,                0.81715,                0.99019,                0.99098,                0.99479,                  0.974,                0.24999,                0.13352,                 0.8093,              0.0031195,              0.0031195,              0.0031195
                    141,                0.31329,                0.18436,                0.82002,                0.99019,                 0.9911,                0.99479,                0.97417,                0.24972,                0.13313,                 0.8093,                0.00307,                0.00307,                0.00307
                    142,                0.31051,                0.18391,                0.81592,                0.99029,                0.99068,                0.99479,                0.97412,                0.24956,                0.13299,                0.80924,              0.0030205,              0.0030205,              0.0030205
                    143,                 0.3104,                0.18276,                0.81521,                0.99009,                0.99126,                0.99479,                0.97417,                0.24911,                 0.1327,                0.80923,               0.002971,               0.002971,               0.002971
                    144,                0.30634,                  0.183,                0.81551,                0.99009,                0.99133,                0.99479,                0.97415,                0.24888,                0.13274,                0.80915,              0.0029215,              0.0029215,              0.0029215
                    145,                0.30562,                0.18073,                0.81515,                0.99014,                0.99112,                0.99479,                0.97428,                 0.2486,                0.13268,                0.80903,               0.002872,               0.002872,               0.002872
                    146,                0.30793,                0.18161,                0.81478,                0.99012,                0.99112,                0.99479,                0.97448,                0.24814,                0.13247,                  0.809,              0.0028225,              0.0028225,              0.0028225
                    147,                0.30429,                 0.1792,                0.81655,                0.98997,                0.99112,                0.99479,                0.97438,                0.24799,                0.13238,                0.80903,               0.002773,               0.002773,               0.002773
                    148,                0.29979,                0.17855,                0.81476,                0.98988,                0.99112,                0.99479,                0.97437,                0.24777,                0.13245,                0.80901,              0.0027235,              0.0027235,              0.0027235
                    149,                0.30045,                0.17789,                0.81352,                0.98992,                0.99123,                0.99479,                0.97444,                 0.2475,                0.13217,                0.80898,               0.002674,               0.002674,               0.002674
                    150,                0.27692,                0.16762,                0.81209,                0.99029,                0.99088,                0.99479,                0.97448,                0.24739,                0.13233,                0.80899,              0.0026245,              0.0026245,              0.0026245
                    151,                 0.2846,                0.17109,                0.81343,                0.99002,                0.99112,                0.99479,                0.97444,                0.24719,                 0.1322,                0.80898,               0.002575,               0.002575,               0.002575
                    152,                0.29033,                0.17423,                0.81368,                0.98998,                0.99114,                0.99479,                0.97448,                0.24708,                0.13212,                0.80893,              0.0025255,              0.0025255,              0.0025255
                    153,                0.29157,                0.17507,                 0.8131,                0.98998,                0.99113,                0.99479,                0.97453,                0.24678,                0.13191,                0.80886,               0.002476,               0.002476,               0.002476
                    154,                0.29144,                 0.1735,                0.81301,                0.98978,                0.99128,                0.99478,                 0.9745,                0.24669,                0.13186,                 0.8088,              0.0024265,              0.0024265,              0.0024265
                    155,                0.29225,                 0.1738,                0.81375,                0.98978,                0.99128,                0.99479,                0.97454,                0.24651,                0.13184,                 0.8088,               0.002377,               0.002377,               0.002377
                    156,                0.29085,                0.17304,                 0.8137,                0.98988,                0.99112,                0.99478,                 0.9746,                0.24636,                0.13181,                 0.8088,              0.0023275,              0.0023275,              0.0023275
